NAME,INSTALLED,FIXED-IN,TYPE,VULNERABILITY,SEVERITY
libkrb5support0,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libkrb5support0,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libkrb5support0,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
liblzma5,5.2.5-2ubuntu1,Not Fixed,deb,CVE-2020-22916,Medium
libmount1,2.37.2-4ubuntu3,2.37.2-4ubuntu3.3,deb,CVE-2024-28085,Medium
libncurses6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
libncurses6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
libncursesw6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
libncursesw6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
libpcre2-8-0,10.39-3ubuntu0.1,Not Fixed,deb,CVE-2022-41409,Low
libpcre3,2:8.39-13ubuntu0.22.04.1,Not Fixed,deb,CVE-2017-11164,Negligible
libsmartcols1,2.37.2-4ubuntu3,2.37.2-4ubuntu3.3,deb,CVE-2024-28085,Medium
libssl3,3.0.2-0ubuntu1.14,Not Fixed,deb,CVE-2022-40735,Medium
libssl3,3.0.2-0ubuntu1.14,Not Fixed,deb,CVE-2024-4741,Low
libssl3,3.0.2-0ubuntu1.14,Not Fixed,deb,CVE-2024-4603,Low
libssl3,3.0.2-0ubuntu1.14,Not Fixed,deb,CVE-2024-2511,Low
libstdc++6,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2023-4039,Medium
libstdc++6,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2022-27943,Low
libsystemd0,249.11-0ubuntu3.12,Not Fixed,deb,CVE-2023-7008,Low
libtasn1-6,4.18.0-4build1,Not Fixed,deb,CVE-2021-46848,Low
libtinfo6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
libtinfo6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
libudev1,249.11-0ubuntu3.12,Not Fixed,deb,CVE-2023-7008,Low
libuuid1,2.37.2-4ubuntu3,2.37.2-4ubuntu3.3,deb,CVE-2024-28085,Medium
libzstd1,1.4.8+dfsg-3build1,Not Fixed,deb,CVE-2022-4899,Low
login,1:4.8.1-2ubuntu2.1,1:4.8.1-2ubuntu2.2,deb,CVE-2023-4641,Low
login,1:4.8.1-2ubuntu2.1,Not Fixed,deb,CVE-2023-29383,Low
mount,2.37.2-4ubuntu3,2.37.2-4ubuntu3.3,deb,CVE-2024-28085,Medium
ncurses-base,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
ncurses-base,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
ncurses-bin,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
ncurses-bin,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
passwd,1:4.8.1-2ubuntu2.1,1:4.8.1-2ubuntu2.2,deb,CVE-2023-4641,Low
passwd,1:4.8.1-2ubuntu2.1,Not Fixed,deb,CVE-2023-29383,Low
util-linux,2.37.2-4ubuntu3,2.37.2-4ubuntu3.3,deb,CVE-2024-28085,Medium
busybox,1.36.1-r28,1.36.1-r29,apk,CVE-2023-42365,Medium
busybox,1.36.1-r28,1.36.1-r29,apk,CVE-2023-42364,Medium
busybox-binsh,1.36.1-r28,1.36.1-r29,apk,CVE-2023-42365,Medium
busybox-binsh,1.36.1-r28,1.36.1-r29,apk,CVE-2023-42364,Medium
libcrypto3,3.3.0-r2,3.3.0-r3,apk,CVE-2024-4741,Unknown
libssl3,3.3.0-r2,3.3.0-r3,apk,CVE-2024-4741,Unknown
ssl_client,1.36.1-r28,1.36.1-r29,apk,CVE-2023-42365,Medium
ssl_client,1.36.1-r28,1.36.1-r29,apk,CVE-2023-42364,Medium
apt,2.6.1,Not Fixed,deb,CVE-2011-3374,Negligible
bsdutils,1:2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
coreutils,9.1-1,(won't fix),deb,CVE-2016-2781,Low
coreutils,9.1-1,Not Fixed,deb,CVE-2017-18018,Negligible
gcc-12-base,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
gcc-12-base,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
gpgv,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
libapt-pkg6.0,2.6.1,Not Fixed,deb,CVE-2011-3374,Negligible
libblkid1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-9192,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010025,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010024,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010023,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010022,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2018-20796,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2010-4756,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-9192,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010025,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010024,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010023,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010022,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2018-20796,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2010-4756,Negligible
libgcc-s1,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libgcc-s1,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libgcrypt20,1.10.1-3,(won't fix),deb,CVE-2024-2236,Medium
libgcrypt20,1.10.1-3,Not Fixed,deb,CVE-2018-6829,Negligible
libgnutls30,3.7.9-2+deb12u2,(won't fix),deb,CVE-2024-28835,Medium
libgnutls30,3.7.9-2+deb12u2,(won't fix),deb,CVE-2024-28834,Medium
libgnutls30,3.7.9-2+deb12u2,Not Fixed,deb,CVE-2011-3389,Negligible
libmount1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
libpam-modules,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libpam-modules-bin,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libpam-runtime,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libpam0g,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libsmartcols1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
libstdc++6,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libstdc++6,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libsystemd0,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50387,High
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31439,Negligible
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31438,Negligible
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31437,Negligible
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2013-4392,Negligible
libsystemd0,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50868,Unknown
libtinfo6,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
libtinfo6,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
libudev1,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50387,High
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31439,Negligible
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31438,Negligible
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31437,Negligible
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2013-4392,Negligible
libudev1,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50868,Unknown
libuuid1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
login,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-4641,Medium
login,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-29383,Low
login,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2019-19882,Negligible
login,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2007-5686,Negligible
mount,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
ncurses-base,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
ncurses-base,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
ncurses-bin,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
ncurses-bin,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
passwd,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-4641,Medium
passwd,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-29383,Low
passwd,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2019-19882,Negligible
passwd,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2007-5686,Negligible
perl-base,5.36.0-7+deb12u1,(won't fix),deb,CVE-2023-31484,High
perl-base,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2023-31486,Negligible
perl-base,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2011-4116,Negligible
tar,1.34+dfsg-1.2+deb12u1,Not Fixed,deb,CVE-2005-2541,Negligible
util-linux,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
util-linux-extra,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
zlib1g,1:1.2.13.dfsg-1,(won't fix),deb,CVE-2023-45853,Critical
bind-export-libs,32:9.11.26-3.el8,32:9.11.36-14.el8_10,rpm,CVE-2023-50868,High
bind-export-libs,32:9.11.26-3.el8,32:9.11.36-14.el8_10,rpm,CVE-2023-50387,High
bind-export-libs,32:9.11.26-3.el8,32:9.11.36-14.el8_10,rpm,CVE-2023-4408,High
bind-export-libs,32:9.11.26-3.el8,32:9.11.36-8.el8_8.2,rpm,CVE-2023-3341,High
bind-export-libs,32:9.11.26-3.el8,32:9.11.36-8.el8_8.1,rpm,CVE-2023-2828,High
bind-export-libs,32:9.11.26-3.el8,32:9.11.36-3.el8_6.1,rpm,CVE-2022-38178,High
bind-export-libs,32:9.11.26-3.el8,32:9.11.36-3.el8_6.1,rpm,CVE-2022-38177,High
bind-export-libs,32:9.11.26-3.el8,32:9.11.26-4.el8_4,rpm,CVE-2021-25215,High
bind-export-libs,32:9.11.26-3.el8,32:9.11.36-11.el8_9,rpm,CVE-2022-3094,Medium
bind-export-libs,32:9.11.26-3.el8,32:9.11.36-8.el8,rpm,CVE-2022-2795,Medium
bind-export-libs,32:9.11.26-3.el8,32:9.11.36-5.el8,rpm,CVE-2021-25220,Medium
bind-export-libs,32:9.11.26-3.el8,32:9.11.36-3.el8,rpm,CVE-2021-25219,Medium
bind-export-libs,32:9.11.26-3.el8,32:9.11.26-6.el8,rpm,CVE-2021-25214,Medium
binutils,2.30-93.el8,0:2.30-119.el8_8.2,rpm,CVE-2022-4285,Medium
binutils,2.30-93.el8,(won't fix),rpm,CVE-2021-45078,Medium
binutils,2.30-93.el8,0:2.30-108.el8_5.1,rpm,CVE-2021-42574,Medium
binutils,2.30-93.el8,0:2.30-108.el8,rpm,CVE-2021-20197,Medium
binutils,2.30-93.el8,(won't fix),rpm,CVE-2019-9077,Medium
binutils,2.30-93.el8,(won't fix),rpm,CVE-2019-9075,Medium
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-20673,Medium
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-20671,Medium
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-20623,Medium
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-1000876,Medium
binutils,2.30-93.el8,(won't fix),rpm,CVE-2023-25588,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2023-25585,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2023-25584,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2023-1972,Low
binutils,2.30-93.el8,Not Fixed,rpm,CVE-2022-47011,Low
binutils,2.30-93.el8,Not Fixed,rpm,CVE-2022-47010,Low
binutils,2.30-93.el8,Not Fixed,rpm,CVE-2022-47008,Low
binutils,2.30-93.el8,Not Fixed,rpm,CVE-2022-47007,Low
binutils,2.30-93.el8,Not Fixed,rpm,CVE-2022-44840,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2022-38533,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2021-3826,Low
binutils,2.30-93.el8,0:2.30-108.el8,rpm,CVE-2021-20284,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2020-35507,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2020-35496,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2020-35495,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2020-35494,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2020-35493,Low
binutils,2.30-93.el8,0:2.30-108.el8,rpm,CVE-2020-35448,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2020-16598,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2019-9071,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2019-14250,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2019-12972,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-6872,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-20657,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-20651,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-20002,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-19932,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-18701,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-18700,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-18607,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-18606,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-18605,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-18484,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-18483,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-18309,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-17985,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-17794,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-17360,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-12934,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-12700,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-12699,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-12698,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-12697,Low
binutils,2.30-93.el8,(won't fix),rpm,CVE-2018-12641,Low
binutils,2.30-93.el8,Not Fixed,rpm,CVE-2023-2222,Unknown
binutils,2.30-93.el8,0:2.30-108.el8,rpm,CVE-2021-3487,Unknown
bzip2-libs,1.0.6-26.el8,(won't fix),rpm,CVE-2019-12900,Low
ca-certificates,2020.2.41-80.0.el8_2,(won't fix),rpm,CVE-2023-37920,Low
cpio,2.12-10.el8,(won't fix),rpm,CVE-2023-7207,Medium
cpio,2.12-10.el8,0:2.12-11.el8,rpm,CVE-2021-38185,Medium
cpio,2.12-10.el8,(won't fix),rpm,CVE-2023-7216,Low
cryptsetup-libs,2.3.3-4.el8,0:2.3.3-4.el8_5.1,rpm,CVE-2021-4122,Medium
curl,7.61.1-18.el8,Not Fixed,rpm,CVE-2024-2398,Medium
curl,7.61.1-18.el8,0:7.61.1-33.el8_9.5,rpm,CVE-2023-46218,Medium
curl,7.61.1-18.el8,0:7.61.1-30.el8_8.3,rpm,CVE-2023-28321,Medium
curl,7.61.1-18.el8,0:7.61.1-30.el8_8.3,rpm,CVE-2023-27536,Medium
curl,7.61.1-18.el8,0:7.61.1-30.el8_8.2,rpm,CVE-2023-27535,Medium
curl,7.61.1-18.el8,0:7.61.1-25.el8_7.3,rpm,CVE-2023-23916,Medium
curl,7.61.1-18.el8,0:7.61.1-22.el8_6.4,rpm,CVE-2022-32208,Medium
curl,7.61.1-18.el8,0:7.61.1-22.el8_6.4,rpm,CVE-2022-32206,Medium
curl,7.61.1-18.el8,0:7.61.1-22.el8_6.3,rpm,CVE-2022-27782,Medium
curl,7.61.1-18.el8,0:7.61.1-22.el8_6.3,rpm,CVE-2022-27776,Medium
curl,7.61.1-18.el8,0:7.61.1-22.el8_6.3,rpm,CVE-2022-27774,Medium
curl,7.61.1-18.el8,0:7.61.1-22.el8_6.3,rpm,CVE-2022-22576,Medium
curl,7.61.1-18.el8,0:7.61.1-18.el8_4.2,rpm,CVE-2021-22947,Medium
curl,7.61.1-18.el8,0:7.61.1-18.el8_4.2,rpm,CVE-2021-22946,Medium
curl,7.61.1-18.el8,0:7.61.1-18.el8_4.1,rpm,CVE-2021-22924,Medium
curl,7.61.1-18.el8,0:7.61.1-18.el8_4.1,rpm,CVE-2021-22923,Medium
curl,7.61.1-18.el8,0:7.61.1-18.el8_4.1,rpm,CVE-2021-22922,Medium
curl,7.61.1-18.el8,0:7.61.1-22.el8,rpm,CVE-2021-22876,Medium
curl,7.61.1-18.el8,0:7.61.1-33.el8_9.5,rpm,CVE-2023-38546,Low
curl,7.61.1-18.el8,0:7.61.1-33.el8_9.5,rpm,CVE-2023-28322,Low
curl,7.61.1-18.el8,(won't fix),rpm,CVE-2023-27534,Low
curl,7.61.1-18.el8,0:7.61.1-30.el8,rpm,CVE-2022-43552,Low
curl,7.61.1-18.el8,0:7.61.1-30.el8,rpm,CVE-2022-35252,Low
curl,7.61.1-18.el8,0:7.61.1-22.el8,rpm,CVE-2021-22925,Low
curl,7.61.1-18.el8,0:7.61.1-22.el8,rpm,CVE-2021-22898,Low
cyrus-sasl-lib,2.1.27-5.el8,0:2.1.27-6.el8_5,rpm,CVE-2022-24407,High
dbus,1:1.12.8-12.el8,1:1.12.8-24.el8_8.1,rpm,CVE-2023-34969,Medium
dbus,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42012,Medium
dbus,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42011,Medium
dbus,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42010,Medium
dbus,1:1.12.8-12.el8,(won't fix),rpm,CVE-2020-35512,Low
dbus-common,1:1.12.8-12.el8,1:1.12.8-24.el8_8.1,rpm,CVE-2023-34969,Medium
dbus-common,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42012,Medium
dbus-common,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42011,Medium
dbus-common,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42010,Medium
dbus-common,1:1.12.8-12.el8,(won't fix),rpm,CVE-2020-35512,Low
dbus-daemon,1:1.12.8-12.el8,1:1.12.8-24.el8_8.1,rpm,CVE-2023-34969,Medium
dbus-daemon,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42012,Medium
dbus-daemon,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42011,Medium
dbus-daemon,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42010,Medium
dbus-daemon,1:1.12.8-12.el8,(won't fix),rpm,CVE-2020-35512,Low
dbus-libs,1:1.12.8-12.el8,1:1.12.8-24.el8_8.1,rpm,CVE-2023-34969,Medium
dbus-libs,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42012,Medium
dbus-libs,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42011,Medium
dbus-libs,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42010,Medium
dbus-libs,1:1.12.8-12.el8,(won't fix),rpm,CVE-2020-35512,Low
dbus-tools,1:1.12.8-12.el8,1:1.12.8-24.el8_8.1,rpm,CVE-2023-34969,Medium
dbus-tools,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42012,Medium
dbus-tools,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42011,Medium
dbus-tools,1:1.12.8-12.el8,1:1.12.8-23.el8_7.1,rpm,CVE-2022-42010,Medium
dbus-tools,1:1.12.8-12.el8,(won't fix),rpm,CVE-2020-35512,Low
dhcp-client,12:4.3.6-44.0.1.el8,12:4.3.6-49.el8,rpm,CVE-2022-2929,Medium
dhcp-client,12:4.3.6-44.0.1.el8,12:4.3.6-49.el8,rpm,CVE-2022-2928,Medium
dhcp-common,12:4.3.6-44.0.1.el8,12:4.3.6-49.el8,rpm,CVE-2022-2929,Medium
dhcp-common,12:4.3.6-44.0.1.el8,12:4.3.6-49.el8,rpm,CVE-2022-2928,Medium
dhcp-libs,12:4.3.6-44.0.1.el8,12:4.3.6-49.el8,rpm,CVE-2022-2929,Medium
dhcp-libs,12:4.3.6-44.0.1.el8,12:4.3.6-49.el8,rpm,CVE-2022-2928,Medium
dnf,4.4.2-11.el8,0:4.7.0-4.el8,rpm,CVE-2021-3445,Medium
dnf-data,4.4.2-11.el8,0:4.7.0-4.el8,rpm,CVE-2021-3445,Medium
elfutils-default-yama-scope,0.182-3.el8,(won't fix),rpm,CVE-2024-25260,Low
elfutils-default-yama-scope,0.182-3.el8,(won't fix),rpm,CVE-2021-33294,Low
elfutils-libelf,0.182-3.el8,(won't fix),rpm,CVE-2024-25260,Low
elfutils-libelf,0.182-3.el8,(won't fix),rpm,CVE-2021-33294,Low
elfutils-libs,0.182-3.el8,(won't fix),rpm,CVE-2024-25260,Low
elfutils-libs,0.182-3.el8,(won't fix),rpm,CVE-2021-33294,Low
expat,2.2.5-4.el8,0:2.2.5-8.el8_6.3,rpm,CVE-2022-40674,High
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2022-25315,High
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2022-25236,High
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2022-25235,High
expat,2.2.5-4.el8,0:2.2.5-11.el8_9.1,rpm,CVE-2023-52425,Medium
expat,2.2.5-4.el8,0:2.2.5-10.el8_7.1,rpm,CVE-2022-43680,Medium
expat,2.2.5-4.el8,0:2.2.5-8.el8_6.2,rpm,CVE-2022-25314,Medium
expat,2.2.5-4.el8,0:2.2.5-8.el8_6.2,rpm,CVE-2022-25313,Medium
expat,2.2.5-4.el8,(won't fix),rpm,CVE-2022-23990,Medium
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2022-23852,Medium
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2022-22827,Medium
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2022-22826,Medium
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2022-22825,Medium
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2022-22824,Medium
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2022-22823,Medium
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2022-22822,Medium
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2021-46143,Medium
expat,2.2.5-4.el8,0:2.2.5-4.el8_5.3,rpm,CVE-2021-45960,Medium
file-libs,5.33-16.el8_3.1,0:5.33-20.el8,rpm,CVE-2019-18218,Medium
file-libs,5.33-16.el8_3.1,(won't fix),rpm,CVE-2019-8906,Low
file-libs,5.33-16.el8_3.1,(won't fix),rpm,CVE-2019-8905,Low
gawk,4.2.1-2.el8,(won't fix),rpm,CVE-2023-4156,Low
